source,song_name,song_by,Classification,Mood,Video Theme,Instrument,Genre,BPM,LMM Description,Number,
envato,Welcome Dream Orchestral Logo Intro,PaBlikMM01,Dreamy,"trailer, intro, epic, podcast, atmospheric, atmosphere, ambient, film, documentary, adventure, guitar, pads, synth, evolving, melody, processed, alternative, background, underscore, slow motion, drone, aerial, cinematic, quiet",,,,100,"This is a beautiful and inspiring cinematic track featuring piano, strings, epic drums, and other orchestral instruments. The mood is hopeful, emotional, and uplifting. This track is perfect for use in film, TV, trailers, commercials, and other projects that require a heartfelt and inspiring soundtrack.",127,
envato,Intense Trailer Ident,MrOrangeAudio,Agitated,"action, aggressive, battle, blockbuster, cinematic, cinematic trailer, credits, dramatic, drums, energetic, epic, film, futuristic, heroic, huge, huge drums, hybrid, hybrid trailer, identity, intense, logo, montage, movie, music, score, taiko, teaser, trailer, triumphant",,,,,"A dramatic, suspenseful, and intense hybrid trailer track featuring powerful drums, strings, and synths. The track builds up to a climactic moment with heavy hits and powerful bass. This track is perfect for action, adventure, and suspenseful scenes in movies, video games, and trailers.",128,
envato,Personal Hero Intro Trailer Opener,PaBlikMM,Agitated,"advertise, advertising, bass, brand, catchy, commerce, commercial, drive, driven, drums, dynamic, electric, energetic, extreme, extreme sport, guitar, indie, indie rock, intro, loud, opener, powerful, punchy, rock, trailer, upbeat, uplifting, winter",,,,90,"This is a powerful, energetic and agressive rock track featuring distorted electric guitars, bass guitar, drums and stomps.",129,
envato,For An Opener,florews,Agitated,"action, cinematic, commercial, drums, energetic, epic, epica, heroic, inspiration, inspirational, inspiring, intense, intro, logo, motivation, motivational, opener, orchestra, orchestral, powerful, promo, promotional, rhythmic, soundtrack, story, strings, teaser, trailer, tv spot, victory",,,,,"A powerful, epic, cinematic trailer track with strings, brass, percussion, and sound design elements. The music builds up to a climactic ending with a big orchestral sound. This track is perfect for film, trailers, video games, and other projects that require epic, cinematic music.",130,
envato,Cinematic Epic Trailer Intro,PaBlikMM01,Agitated,"logo, opener, trailer, intro, animation, elegant, epic, synth, new, hit point, energetic, commercial, advertising, driven, drop, boom, rising, riser, technology, electronic, tech, film, vlog, soundtrack, charging, epical, cinematic",,,,120,"This track features a big cinematic orchestra, epic drums, and suspenseful strings. The mood is suspenseful, dramatic, and intense. This track is perfect for movie trailers, video games, and other media projects that require a suspenseful and epic soundtrack.",131,
envato,Saxophone Made of Diamonds,Echobrainz,Humorous,"comedy, funny, joyful, piano, saxophone, tuba, upbeat",,,,157,"A retro and funky track featuring a saxophone, trumpet, piano, bass, and drums. It has a cheerful and lively mood, making it suitable for use in advertisements, commercials, or videos that need a cheerful and upbeat soundtrack. The instruments used in the track give it a vintage and nostalgic feel, making it perfect for use in movies or TV shows set in the past. It can also be used in background music for restaurants, cafes, or bars to create a fun and lively atmosphere.",132,wav
envato,Kids Game,WormwoodMusic,Humorous,"abc, arcade, babies, babies music, baby, baby game, baby music, background, candy crush, child, children, comedy, Fagot, fun, game, gameplay, happy, joy, joyful, kid, kids, kids game, marimba, merry, oboe, puzzle, toddler, toddlers, videogame",,,,138,"A funny and silly jingle with a playful mood. The main instruments are the marimba, clarinet, bassoon, and glockenspiel. The genre is children's music. This jingle would be perfect for a cartoon, video game, or TV show that needs a silly and funny theme song.",133,
envato,Happy Ukulele Whistle Pop,StockPlanet,Happy,"advertising, background, bouncy, bright, cheerful, commercial, folk, fun, fun music, glock, guitar, happy, happy music, inspirational, instagram, joyful, kids, kids music, optimistic, pop, positive, song, summer, titles, trailer, travel, typography, ukulele, upbeat, uplifting",,,,78,"Acoustic background music with ukulele, whistle, claps, bass guitar, drums, and percussion. The uplifting and positive mood will evoke feelings of happiness and joy. It is perfect for use in advertising, commercials, corporate videos, business projects, presentations, and more.",134,
envato,Happy Clap,gballx,Happy,"advertising, emotional, energy, film, fun, gospel, ident, impact, industrial, intro, motivational, percussion, promo, quirky, score, stomping, teaser, trailer, ukelele, upbeat",,,,120,"This is a fun and happy song featuring ukulele, claps, whistle, mandolin, bass, and drums. It has a cheerful and upbeat vibe that is perfect for any positive and uplifting project. It is ideal for use in commercials, advertisements, TV shows, and films. It can also be used in children's shows, games, and other media projects that require a happy and playful atmosphere.",135,
envato,Cartoon Capers,gballx,Humorous,"animation, bright, cartoon, comedy, comic, crazy, fun, funny, humorous, humour, intro, laugh, laughing, laughter, light, playful, quirky, upbeat",,,,140,"A wild, cartoonish, retro-style theme featuring a brass band, piano, and glockenspiel. It's perfect for children's cartoons, comedy, or anything with a playful, whimsical vibe.",136,
envato,Fashion House Loop,Sawtooz,Vigorous,"butique, cat walk, city event, contemporary, cute, dance, deep, edm, electro, electronic, expensive, fashion, fashion music, fashion tv, groove, house, lights, looped, luxe tv, luxury, photo shoot, podium, positive, sexy, show, showroom, strong, trendy, underwear",,,,128,"A powerful and energetic house track with a catchy melody, a powerful beat and a groovy bassline. Great for fashion shows, events, nightclubs, festivals, commercials, advertisements, TV, YouTube, vlogs and more.",137,
envato,Audio Logo 029,brandtz,Calm,"positive, motivational, opening, happy, statement, intro, audio logo, theme, audio branding, audio signature, audio identity",,,,,"A beautiful, calm, emotional, nostalgic, soft, light, emotional, inspirational, positive, hopeful, and uplifting piano piece.",138,
envato,Minimal Technology Trailer,AirFamily,Serious,"air, artificial intelligence, broadcast, chip, commercial, creative, cyber, emotion, galaxy, graphics, hacker, hybrid, hyper, informatics, it, orchestra, piano, platform, podcast, show, soft, space, spoiler, teaser, technology, trailer, universe, videohive",,,,140,"A dark and atmospheric electronic track with a glitchy and groovy beat, deep bass, atmospheric synths, and glitchy textures. Perfect for commercials, advertising, technology, and more.",139,
envato,Upbeat Whimsical Orchestra,pinkzebra,Humorous,"big, bombastic, cartoon, children, crazy, energy, fun, goofy, lively, magical, orchestra, pinkzebra, playful, quirky, silly, uptempo, whimsical, zany",,,,175,"A playful and energetic orchestral piece featuring strings, woodwinds, and brass. The fast-paced rhythm and lively melodies create a joyful and upbeat atmosphere, making it perfect for use in children's movies, cartoons, or any project that needs a playful and energetic soundtrack.",140,
envato,Background Funk,Tonydrumer,Vigorous,"advertising, background, background funk, background music, bass guitar, beat, commercial, cooking, cool, drums, fashion, food, fun, funk, funky, groove, groovy, guitar, joyful, positive, radio, retro, soul, tv, upbeat, vintage, vlog, youtube",,,,110,"A groovy and upbeat funk track featuring electric guitars, bass, drums, and horns. Perfect for advertising, commercials, and upbeat TV shows.",141,
envato,Heavy Metal Loop,teslasounds,Vigorous,"action, drive, extreme, fight, guitars, loop, metal, metallica, power, punch, race, riff, speed, strong",,,,148,"This is a powerful and intense metal track with distorted electric guitars, driving bass, and pounding drums. The mood is aggressive and intense, with a strong sense of determination and power. The main instruments are electric guitars, bass, and drums. The genre/style is metal, with a fast and intense pace. This track would be suitable for use in action movies, video games, or any content that needs a heavy and intense musical score.",142,wav
envato,Peaceful Corporate Ambient Loop,KOSATKA,Calm,"ambient, atmospheric, background, beautiful, calm, cheerful, cinematic, corporate, deep, discovery, documentary, dreamy, emotional, encouraging, film, happy, hopeful, inspiration, inspiring, light, loop, meditation, motivating, opening, peaceful, piano, positive, sentimental, soft, timelapse",,,,73,"A soft, warm, and relaxing ambient electronic track with soft piano, electric piano, and synth pads. The track has a dreamy and calming feel, making it suitable for meditation, relaxation, and background music.",143,wav
envato,Electrix 2,Sawtooz,Vigorous,"action, aggressive, bright, complextro, crazy, current, dance, dynamic, electro, electronic, energetic, extreme, fun, futuristic, heavy, high tech, jingle, loop, mad, mainstream, party, powerful, race, rhythmic, saw, sport, workout, youthfully",,,,130,"A powerful electro house loop with a strong bassline, fat leads and punchy drums. Great for energetic and dynamic content such as commercials, sport, extreme sports, vlogs and more.",144,
envato,Health,fatbunny,Dreamy,"advertise, advertising, ambient, background, bright, business, commercial, corporate, digital technology, future, health, hi tech, innovation, marketing, medic, medical, medical background, modern, motivational, orchestral, pharmacy, presentation, science, science background, scientific, success, tech, tech background, technology",,,,130,"A calm, uplifting, and inspiring background track with piano, guitar harmonics, bass, and drums. Perfect for corporate videos, business presentations, advertising, commercials, TV ads, YouTube videos, vlogs, and more.",145,wav
envato,Italian Dance,soundroll,Humorous,"fun, funny, jolly, joyful, simple, european, traditional, dancing, animated, cheerful, celebratory, festive, party, country, booming, positive, good, merry, hilarious, cheery, playful, bright, sunny, larky, glad, jaunty, game, lively, catchy, dance",,,,155,"A fun, quirky, and upbeat Italian folk song featuring mandolin, accordion, and acoustic guitar. Perfect for advertising, commercials, cooking shows, and more.",146,wav
envato,The Indie Folk Acoustic Guitar Loop,plaincask,Calm,"acoustic guitar, advertising, bed, bouncy, bright, catchy, commercial, corporate, energetic, folk, folksy, freedom, guitar, guitar loop, happy, indie, indie loop, inspiring, joyful, lighthearted, loop, motivational, optimistic, positive, presentation, singing, upbeat, uplifting",,,,170,"A happy, upbeat and uplifting acoustic guitar track with a positive and optimistic mood. Featuring acoustic guitar, piano, strings and percussion.",147,
envato,Energy Dance Loop,Difourks,Vigorous,"beauty, blog, club, dance, dancing, edm, electro, electronic, fashion, fitness, graphic, house, lead, love, modern, motion, motivational, music, night, opener, party, powerful, presentation, progressive, sport, summer, summer party, synth, youtube",,,,128,"A powerful and energetic electro track with dubstep elements. The song features punchy beats, deep bass, wobble synths, and vocal chops. The track is perfect for use in commercials, action scenes, sports videos, and more.",148,
envato,Bossa Nova Lounge Jazz,Tonydrumer,Happy,"advertising, background, bossa, bossa nova, brazil, brazilian, calm, cheesy, chill, cocktail, commercial, flute, gentle, hotel, jazz, jazzy, latin, latin jazz, lounge, relaxing, romantic, smooth, soft, waiting",,,,78,"This is a groovy and playful salsa track featuring catchy horns melodies, bouncy drums, and a fun and upbeat vibe. It is perfect for any project that needs a festive and energetic Latin sound.",149,
envato,Modern Club Party,Difourks,Vigorous,"background, bass, blogging, club, dance, dancing, dirty, electro, electronic, energetic, energy, extreme, game, house, internet, loop, looped, modern, music, party, pop, positive, screen, site, sport, teen, track, vlog, youtube",,,,128,"A powerful and upbeat techno track with a groovy bassline, pumping drums, and catchy melodies. Perfect for club, party, or workout scenes.",150,
envato,Hard Rock Intro,grach,Agitated,"action, adrenaline, business, cars, crazy, distortion, drive, dynamic, electric, energetic, extreme, fast, freedom, game, guitar, hardcore, heavy, intro, load, logo, metal, opening, overdrive, race, racing, revolt, running, speed, sports, trailer",,,,100,"A hard rock instrumental featuring electric guitars, bass, and drums. The song has a strong and confident mood. It could be used in the soundtrack of a video game or movie, as well as in commercials and advertisements.",151,
envato,Comedy Music,GroovingGecko,Humorous,"ad, animated, animation, bar, cartoon, chase, comedy, comical, country, country piano, cowboy, excitement, exciting, fast, fun, funny, happy, humor, intense, jazz, playful, positive, quick, ragtime, saloon, silent film, slapstick, uplifting, western, wild west",,,,138,"A fast-paced ragtime piano solo, ideal for comedies, cartoons, and vintage media.",152,
envato,Little Ragtime,DariusMusicProduction,Happy,"1920s, 1930s, 1940s, 1950s, benny hill, charlie chaplin, comedy, cowboy, dixieland, drunk, foxtrot, fun, funny, happy, hilarious, honky tonk, jazz, joke, loop, old fashioned, piano, radio, ragtime, retro, saloon, silent movie, toy, cartoon, vintage, vinyl",,,,92,"A vintage, retro, 1920's style ragtime piano tune, with a catchy melody and playful, humorous, silly vibe. Great for old-time comedies, silent movies, funny commercials, cartoons, children's shows, and more.",153,
envato,Wild West Slow Dobro Guitar,ilovemedia-es,Sad,"advertisement, blues, commercial, cowboy, dark, depressed, desert, dobro, dramatic, duel, guitar, loneliness, melancholy, resonator, sad, slide, slow, solo, southern, steel, tense, tension, western, wild west",,,,105,This short musical cue features a Spanish guitar playing a melody that is full of mystery and longing. It is perfect for use in a scene where a character is reflecting on their past or lost love.,154,
envato,Black Magic Drama Tension,FlossieWood,Serious,"30 seconds, bells, black magic, dark, drama, film, magic, magical, mysterious, mystery, piano, secret, sneaky, sombre, spy, spying, suspense, suspenseful, tension, thriller, triangle, uncertainty, underscore",,,,,"A piano and orchestra play a suspenseful, action packed theme. The music builds and then comes to a dramatic climax. This music is perfect for a scene in a movie or video game where the hero is in a high stakes situation and must make a decision.",155,
envato,Short Old England,R-Production,Dreamy,"british, cello, celtic, classical, detective, england, english, harpsichord, irish, old, olde, scottish, sherwood, viola, violin",,,,90,"A traditional and elegant orchestral waltz with a strong and steady beat, featuring strings, piano, and brass instruments. Suitable for use in scenes that require a classic and sophisticated atmosphere, such as weddings, balls, or formal events.",156,
envato,Into the Edge,Pandocrator,Serious,"action, ambient, atmosphere, atmospheric, background, cinema, cinematic, dark, drama, dramatic, drums, end, epic, film, hollywood, intense, intro, melancholic, modern, movie, mystery, outro, pain, powerful, short, sorrow, soundtrack, trailer",,,,150,"A powerful, dark and edgy trailer track with a sense of tension and drama. Featuring a variety of synths, strings, percussion and sound design elements. Perfect for trailers, action scenes, horror movies, games and more.",157,
envato,Disco Guitar Groove,Frontmusic,Happy,"background, bass, catwalk, disco, fashion, fashion girl, fashion tv, funky, funky groove, groove, guitar, house, jazz, light, loop, lux tv, luxury, media, model, mtv, nu disco, nu funky, podium, pop, rhodes, soul, stylish, trendy, video",,,,120,"A groovy, funky, and upbeat disco track with a groovy bassline, funky guitars, and a groovy beat. The track is perfect for vlogs, fashion shows, or any project that needs a groovy and upbeat soundtrack.",158,
envato,Energetic Rock Intro,MDFactory,Happy,"advertising, carefree, cheerful, children, commercial, cooking, cooking show, corporate, cute, electric guitar, feelgood, energetic, fun, funny, game, happiness, happy, holiday, jolly, joy, kids, rock, intro, optimistic, playful, playtime, positive, rock intro, upbeat, uplifting",,,,110,"A groovy, upbeat and energetic pop rock track featuring catchy guitar riffs, uplifting bass, punchy drums and positive mood. Perfect for use in advertising, vlogs, commercials, corporate videos, YouTube videos, Instagram stories, TikTok videos, and more.",159,
envato,Children,flutist,Happy,"acoustic, advertising, animated, bass, bells, bouncy, brass, bright, carefree, catchy, cheerful, commercial, crisp, energetic, event, exciting, fun, game, happy, joyful, light, optimistic, playful, playground, positive, promotional, ukulele, upbeat, uplifting",,,,100,"Upbeat and positive music track featuring ukulele, piano, whistle, claps, drums and bass. The bouncy and uplifting mood, combined with the catchy melody, creates a fun and happy atmosphere. This track is perfect for commercials, advertising, corporate videos, business projects, presentations, vlogs, podcasts, and more.",160,
envato,Vibes Of Summer Ukulele Happy,PaBlikMM,Happy,"acoustic, ukulele, reggae, sumemr, gallery, photos, intro, opener, trailer, logo, romance, cinematic, film, movie, advertising, vlog, bolg, podcast, inspiring, motivational, calm, peaceful, relaxing, tender, neat",,,,90,"This is a cheerful, upbeat, and positive royalty-free reggae track featuring ukulele, acoustic guitar, bass, drums, and percussion. It has a carefree, relaxed, and joyful mood that is great for advertising, commercials, summer videos, vacation vlogs, and more.",161,
envato,Debussy Clair de Lune Slow Piano Intro,ilovemedia-es,Sad,"30 second, 30 seconds, ad, ads, advertisement, advertising, bergamesque, Clair de Lune, classic, classical, commercial, Debussy, elegant, emotional, moonlight, piano, promo, radio, slow, tv",,,,,"A soft and gentle piano piece. The piano plays a simple melody with a subtle chordal background. The piece is relaxing and calming. It could be used as background music in a peaceful setting, such as a spa or yoga studio.",162,
envato,Soft Ambient Dark Piano,ElevateAudio,Sad,"piano, soft, ambience, ambiance, solo, beautiful, sad, cinema, darkness, pianist, dramatic, emotional, farewell, moving, interview, time, history, crime, tense, movie, film, reel, information, soothing, investigation, montage, suspense, template, advertising, background",,,,200,"A beautiful, melancholic piano melody plays in the background. The music is warm and calm, and it evokes feelings of sadness and longing. The piano's gentle notes create a soothing and calming atmosphere. The music is perfect for use in films, documentaries, and television shows that require a subtle and emotional soundtrack.",163,
envato,Ethnic Quena Flute,Antracto,Serious,"atmosphere, background, beautiful, bright, calm, cinematic, dark, documentary, east, eastern, emotional, ethnic, fantasy, film, flute, game, ident, inca, indians, intro, japan, kena, logo, meditation, melodic, movie, mystery, quena, trailer",,,,,"A dramatic and intense track featuring traditional Chinese flute, ethnic percussion, and atmospheric pads. The music is powerful, mystical, and emotional, evoking a sense of adventure, discovery, and wonder. It is perfect for use in cinematic trailers, video games, and documentaries that explore ancient cultures, nature, and spirituality.",164,
envato,Elegant Piano Valentines Podcast Intro,PaBlikMM01,Calm,"elegant, piano, valentines, podcast, intro, romantic, graceful, intimate, warm, soft, heartfelt, sentimental, loving, sweet, tender, sophisticated, smooth, charming, uplifting, emotional, nostalgic, gentle, melodic, beautiful, relaxing, calm, inspiring, dreamy, peaceful",,,,180,"Inspiring piano music with a motivational and hopeful mood. The beautiful and emotional piano melody creates a peaceful and hopeful atmosphere. The music is perfect for background music, commercials, advertising, slideshows, YouTube videos, vlogs, and more.",165,
envato,Debussy Clair de Lune Piano and Flute Intro,ilovemedia-es,Sad,"30 second, 30 seconds, ad, ads, advertisement, advertising, bergamesque, Clair de Lune, classic, classical, commercial, Debussy, elegant, emotional, flute, moonlight, piano, promo, radio, slow, tv",,,,,A sad and lonely piano piece. The main instruments are piano and clarinet. The genre is classical. This music is perfect for a recommendation or search system.,166,
envato,Acoustic Guitar Romantic Bright,VICTORMUSIC,Calm,"acoustic guitar, advertising, background, beautiful, bright, calm, comforting, commercial, documentary, earthy, family, film, fingerstyle, folk, gentle, hopeful, indie, inspiring, memory, morning, light, peaceful, positive, romantic, simple, sweet, uplifting, video, warm, wedding",,,,100,A calm and positive acoustic guitar instrumental with a relaxed and hopeful mood.,167,
envato,For Positive Logo,liosound,Dreamy,"acoustic, beautiful, beauty, bright, calm, cheerful, dreamy, elegant, emotional, encouraging, fulfilling, guitar, hope, inspiration, inspirational, inspiring, life, light, love, lovely, melancholy, mellow, motivational, nostalgic, peace, quiet, romantic, soft, story, uplifting",,,,,"This is a positive and upbeat acoustic track featuring acoustic guitars, piano, bells, claps, and percussion. It has a warm and uplifting mood and is perfect for use in commercials, advertising, and any project that needs a positive and inspiring soundtrack.",168,
envato,Happy Logo Ident,liosound,Happy,"acoustic, advertising, background, bells, bright, catchy, cheerful, children, claps, commercial, corporate, folk, fun, glockenspiel, guitar, happy, inspirational, joyful, kids, lovely, motivational, optimistic, positive, success, summer, ukulele, upbeat, uplifting, whistle",,,,,"A happy, upbeat, positive, and cheerful track featuring ukulele, whistling, claps, snaps, bass, drums, and more.",169,
envato,Energy Punk Rock Logo,Dagored,Agitated,"action, cars, commercial, cool, dirty, drive, driving, energetic, energy, groovy, grunge, hard rock, indie, indie rock, intro, metal, podcast, positive, power, powerful, punk, punk rock, rock, sports, stylish, upbeat, uplifting",,,,,"This is a powerful and energetic rock track with catchy riffs, driving drums, and soaring guitars. It's perfect for use in action movies, sports videos, and extreme sports content. The track has a strong and intense vibe that will get your audience's adrenaline pumping.",170,
envato,The Battle Begins,8thModeMusic,Agitated,"action, adventure, agressive, bass, battle, big, cello, dark, energetic, fantasy, fight, game, loop, looping, orchestral, rhythmic, rpg, short, strings, sword, upbeat, viola, violin, war",,,,134,"A driving and suspenseful orchestral track with a strong and ominous theme. The piece is perfect for action scenes, intense moments, and dark and brooding themes. The music is full of suspense and tension, with a driving rhythm and powerful melodies. The track is also suitable for film, TV, and video games.",171,wav
envato,Happy and Upbeat Intro Logo,Tonydrumer,Humorous,"acoustic, advertising, bouncy, bright, catchy, cheerful, children, christmas, claps, commercial, energetic, fun, funny, happy, happy logo, ident, intro, kids, melody, playful, positive, promo, smile, summer, travel, flute, upbeat, uplifting, youth, youtube",,,,,"An upbeat, happy, energetic, fun, catchy, and positive track featuring a catchy brass melody, funky bass, drums, claps, and percussion. This track is perfect for advertising, commercials, and corporate videos.",172,
envato,Attack of the Elfmen,JBlanks,Humorous,"cartoon, comedy, fun, funny, madcap, madness, parody, quirky, silly, slapstick, upbeat, wacky, zany",,,,,"A playful and lively orchestral soundtrack featuring staccato strings, playful woodwinds, and energetic percussion. The fast-paced rhythm and catchy melodies create a playful and humorous atmosphere, making it ideal for use in children's or comedy productions.",173,wav
envato,Corporate Loop Presentation,Positive_Sound,Calm,"advertising, atmospheric, beauty, business, calm, commercials, corporate, dream, flowing, freedom, hope, hopeful, innovate, inspirational, inspiring, life, light, loop, loopable, marketing, motivational, progress, promotional, relax, successful, tech, technology, uplifting, warm, web",,,,114,"A positive, inspiring, and uplifting background track featuring piano, electric guitars, strings, bass, and drums. The uplifting and inspiring mood will evoke feelings of happiness and joy. It will certainly work well with corporate videos, business projects, presentations, commercials, advertising, TV ads, YouTube videos, vlogs, and more.",174,wav
envato,Dynamic Promo,PineAppleMusic,Agitated,"cinematic, clap, clapping, claps, drums, dynamic, energetic, energy, fashion, fast, finger snaps, intro, kick, modern, opener, percussion, pineapplemusic, powerful, rhythmic, rock, slap, snap, sport, stomp, stomping, stomps, strong, trailer, promo, upbeat",,,,147,"This is a percussive clap and stomp track with energetic beats, claps, snaps, shakers, risers, subs, impacts, shouts, and more. Perfect for sports, commercials, promos, vlogs, ads, dynamic scenes, or any high-energy project.",175,
envato,Sports Theme,StepanBel,Agitated,"action, adventure, advertising, background, beat, building, cinematic, clapping, claps, commercial, corporate, dance, drums, energetic, energy, epic, fast, football, fresh, fun, modern, motivational, percussion, powerful, rhythmic, sport, sports theme, stomps, trailer, upbeat",,,,140,"Exciting and energetic percussion track with stomps, claps, snaps, powerful drums and riser. Perfect for action, sports, dynamic commercials, promos, vlogs, films, trailers, video games, advertising and more.",176,
envato,Funky TV Show Food,Tonydrumer,Humorous,"casino, comedy, commercial, cooking, drive, energetic, food, fun, funk, groove, happy, kitchen, lifestyle, movie, old school, party, positive, retro, show, style, travel, tv, vintage, vinyl, vlog",,,,122,"A retro 60s funky soul groove featuring a brass section, guitars, bass, drums, and organ. This track is perfect for advertising, TV shows, and films that need a groovy and funky sound.",177,
envato,Moody Piano Intro Logo,AmethistLab,Sad,"calm, hope, indent, intro, logo, memories, moody, peaceful, piano, sad, tranquil, winter",,,,,"A calm, soothing, and atmospheric piano piece. The piano is accompanied by a beautiful, ethereal, and spacious soundscapes. The music is perfect for cinematic projects, documentaries, YouTube videos, and more.",178,
envato,China Love Reveal Ident,simonleng,Dreamy,"africa, asia, asian, celebration, cheerful, china, chinese, dragon, energetic, epic, feelgood, festival, happy, inspire, inspiring, japan, joyful, mellow, melodic, motivating, year, parade, party, peace, peaceful, relaxed, relaxing, traditional, upbeat",,,,,"A calm and soothing piece of music with a mysterious and magical vibe. The track features piano, strings, and bells. The music is suitable for use in cinematic productions, video games, and other media projects that require a mysterious and magical atmosphere.",179,wav
envato,Ambient Soundscape Background Loop,bdProductions,Calm,"ambient, background, gentle, inspirational, inspiring, loop, music loop, pad, peaceful, piano, soundscape, uplifting, voiceover",,,,76,"A calm and meditative track featuring piano, strings, and synthesizers. The piece is calm and soothing, perfect for relaxation, meditation, or as background music.",180,wav
envato,School Loop,fatbunny,Calm,"advertising, background, bright, catchy, cheerful, commercial, corporate, dance, driving, energetic, exciting, feel good, fresh, fun, guitar, happy, indie, inspirational, inspiring, modern, motivational, optimistic, party, pop, positive, success, summer, travel, upbeat, uplifting",,,,124,"This is a soft and warm corporate track with beautiful piano, gentle guitars, atmospheric pads, and warm bass. Perfect for corporate videos, presentations, promotions, advertising, vlogs, and more.",181,wav
envato,Inspirational Music Loop,plastic3,Dreamy,"advertising, background, bright, cinematic, commercial, corporate, emotional, energetic, excited, happy, inspirational, inspiring, instagram, intro, logo, loop, motivational, opener, opening, optimistic, popular, positive, short, successful, tiktok, travel, tv, uplifting, violins, youtube",,,,70,"This is a powerful and energetic track featuring strings, electric guitars, bass, and drums. The mood is uplifting and inspiring, making it perfect for commercials, advertisements, movie trailers, and more. The strings and electric guitars create a sense of movement and energy, while the bass and drums provide a strong foundation. The track is also very dynamic, with changes in tempo and instrumentation that keep the listener engaged. Overall, this track is perfect for any project that needs a powerful and energetic background music.",182,wav
envato,Blues Fingerpicking Guitar Loop,Remstunes,Calm,"acoustic background, acoustic guitar, acoustic sound, blues, bouncy, bright, catchy, cheerful, commercial, fingerpicking, game, guitar, jazz, jazzy, lonesome, loop, picking, positive, solo, upbeat, uplifting, walking, website",,,,126,"A solo acoustic guitar plays a jazzy, bluesy, and upbeat riff. Great for a short, fun, and uplifting intro.",183,
envato,Chillout Loop,Sawtooz,Sad,"advertising, ambient, atmospheric, beautiful, business, calm, chill, cinematic, commercial, corporate, deep, dreamy, electronic, emotional, inspiration, inspirational, inspiring, light, minimal, modern, motivational, peaceful, piano, positive, presentation, relax, relaxing, soft, uplifting",,,,140,"A smooth and relaxed track with a chilled out vibe. The piano and synths create a sense of tranquility and calmness. The beat is simple and steady, creating a sense of stability and security. This track would be suitable for use in corporate videos, commercials, and advertisements. It could also be used in meditation and relaxation videos.",184,
envato,Sad Background Music Loop,plastic3,Sad,"sorrow, atmospheric, background, slow, cinematic, coronavirus, deep, dramatic, dreamy, sad, emotional, enigma, epic, film, game, ident, logo, loop, meditative, melodic, moody, mysterious, opening, piano, melancholic, relaxing, short, tragedy, tv, video",,,,68,"This is a loopable piece of music with piano, strings, and a simple beat. It has a melancholic and nostalgic feel to it, and it would be great for use in a sad or nostalgic scene in a movie or TV show. It could also be used in a video game to create a sense of sadness or longing.",185,wav
envato,The Sadness Music,BrightNotesSounds,Sad,"advertising, autumn, calm, cancer, cello, drama, emotional, grief, health, hopeless, landscape, life, loss, melancholy, memories, orchestra, orchestral, piano, production, romantic, sad, sentimental, slide-show, slideshow, social, story, strings, time, time lapse, yearning",,,,68,"An emotional and inspiring cinematic track with a beautiful melody, featuring piano, strings, and brass. The music is perfect for weddings, romantic videos, nature scenes, and emotional moments.",186,
envato,Fragile Piano Ident,scoringaudiogeeks,Calm,"ad, advert, airy, arpeggio, boom, bright, business, clear, design, electric, enterpreuner, eternal, harmony, intro, introduction, light, logo, piano, refreshing, reveal, reverb, sci-fi, smooth, soaring, sound, spacious, spot, stylish, synth, woosh",,,,,"A beautiful and emotional piano track with emotional strings, cinematic percussion and sound effects. Perfect for cinematic trailers, movie scenes, film scores, documentaries, slideshows, and much more.",187,wav
envato,The Sadness Piano Music,Korolkov,Sad,"ambient, background, chamber, cinematic, classical, commercial, crying, dark, documentary, drama, dramatic, emotional, epic score, film, game, hopeless, hypnotic, loss, military, nostalgia, patriotic, peaceful, philosophic, piano depression, sad, sensitive, touching, tragedy, war",,,,100,"The music is an ambient piano track with a nostalgic, emotional and reflective mood. The main instruments are piano and synthesizer. The genre is ambient, classical, contemporary classical and cinematic. The music is suitable for documentaries, commercials, movies, trailers, YouTube videos, TV ads, corporate videos, business projects, presentations, promotions, and more.",188,
envato,Breaking News Opener,SERGMARU,Agitated,"background, bbc, breaking news, broadcast, business, camera, cnn, conflicts, corporate, dramatic, economics, epic, intense, internet, intro, news, opener, orchestral, politics, reporter, sound design, studio, talk show, times, tv, USA Today, vlog, world, youtube",,,,145,"An epic cinematic track featuring orchestral strings, brass, and powerful percussion. The music builds up to a climactic ending with a powerful horn melody. Perfect for film, trailers, video games, and other media projects.",189,
envato,Psy Trance Progressive,Eugene_Barduja,Vigorous,"action, bass, beat, cars, club, cosmos, dance, dj, drive, edm, electronic, extreme, fantastic, groove, loop",,,,135,"A high energy techno loop with a strong bassline, a fat synth lead and a punchy beat. Great for sports, action, or any high energy media.",190,wav
envato,Tango,DanielPapp,Humorous,"accordion, commercial, eiffel, fiery, france, french, love, movie, music, paris, passion, passionate, scene, tango, tower, waltz",,,,130,"A happy, uplifting and bouncy traditional Russian folk song featuring accordion.",191,
